subclass,filename
Lamp5_Lhx6,Lamp5_Lhx6_CZI_display.2022-05-18.h5ad
Lamp5,Lamp5_CZI_display.2022-05-18.h5ad
Pax6,Pax6_CZI_display.2022-05-18.h5ad
Sncg,Sncg_CZI_display.2022-05-18.h5ad
Vip,Vip_CZI_display.2022-05-18.h5ad
Sst Chodl,Sst Chodl_CZI_display.2022-05-18.h5ad
Sst,Sst_CZI_display.2022-05-18.h5ad
Pvalb,Pvalb_CZI_display.2022-05-18.h5ad
Chandelier,Chandelier_CZI_display.2022-05-18.h5ad
L2/3 IT,L2 3 IT_CZI_display.2022-05-18.h5ad
L4 IT,L4 IT_CZI_display.2022-05-18.h5ad
L5 IT,L5 IT_CZI_display.2022-05-18.h5ad
L6 IT,L6 IT_CZI_display.2022-05-18.h5ad
L6 IT Car3,L6 IT Car3_CZI_display.2022-05-18.h5ad
L5 ET,L5 ET_CZI_display.2022-05-18.h5ad
L6 CT,L6 CT_CZI_display.2022-05-18.h5ad
L6b,L6b_CZI_display.2022-05-18.h5ad
L5/6 NP,L5 6 NP_CZI_display.2022-05-18.h5ad
Astro,Astro_CZI_display.2022-05-18.h5ad
OPC,OPC_CZI_display.2022-05-18.h5ad
Oligo,Oligo_CZI_display.2022-05-18.h5ad
Endo,Endo_CZI_display.2022-05-18.h5ad
VLMC,VLMC_CZI_display.2022-05-18.h5ad
Micro-PVM,Micro-PVM_CZI_display.2022-05-18.h5ad
